"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype","FDR","Sig_nominal","Sig_FDR","Direction"
0,-1.14957534237985,0.227,0.447,0,"Pik3r3","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.962295040722212,0.361,0.578,0,"Phc3","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.46525542293804,0.136,0.352,0,"Aqp5","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,2.05697746434586,0.29,0.074,0,"RT1-Db1","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,5.85563291442884,0.227,0.012,0,"AABR07060872.1","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-1.61019376239338,0.223,0.438,0,"Ttc6","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.68218738283854,0.256,0.471,0,"Camta1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-3.25532493962541,0.044,0.258,0,"Lama3","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.987900744850843,0.548,0.762,0,"Nfia","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,2.26808180906795,0.284,0.07,0,"RT1-Da","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-1.63031129193801,0.11,0.323,0,"Plet1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.28651108349652,0.224,0.437,0,"Ccbe1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.892681760413728,0.444,0.656,0,"Ano6","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-5.52167690279622,0.008,0.219,0,"Gp2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.83722528386986,0.17,0.381,0,"Mpdz","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,0.732967498643696,0.949,0.738,0,"Prr27","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-1.29301331617067,0.214,0.423,0,"Casz1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.770165212998693,0.356,0.565,0,"Dtnb","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,2.41051202484628,0.264,0.056,0,"Negr1","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,2.13558392453643,0.782,0.576,0,"Csn1s2a","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-1.84466590238197,0.132,0.338,0,"Mertk","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.930450728639434,0.301,0.507,0,"Cited1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.32790703416467,0.182,0.388,0,"Mindy2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.50451752623405,0.154,0.358,0,"Grb14","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.40230808503999,0.365,0.568,0,"Phlpp1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.83050810661153,0.402,0.605,0,"Acap2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.857530868080457,0.363,0.566,0,"Baiap2l1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
