"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype","FDR","Sig_nominal","Sig_FDR","Direction"
0.00049107727129828,-1.26395167750135,0.054,0.151,1,"Gnal","Endothelial",0.00422267641667264,TRUE,TRUE,"Down_in_Aged"
0.00241047872482757,0.263930330124928,0.125,0.085,1,"Fam110a","Basal",0.00422333645704812,TRUE,TRUE,"Up_in_Aged"
0.00241696746543226,0.445354866578453,0.157,0.112,1,"Tfb1m","Basal",0.00423275463084913,TRUE,TRUE,"Up_in_Aged"
0.00242014390361341,0.323193863056904,0.225,0.171,1,"Arhgef4","Basal",0.00423636607805625,TRUE,TRUE,"Up_in_Aged"
0.000634808832576467,2.00505011461299,0.17,0.049,1,"Nifk","Fibroblasts",0.00423830875983191,TRUE,TRUE,"Up_in_Aged"
0.0024260446022538,0.256440762385135,0.185,0.135,1,"Zc2hc1a","Basal",0.0042447407168748,TRUE,TRUE,"Up_in_Aged"
0.000495331455883048,-1.56328986857036,0.098,0.21,1,"Sh3pxd2b","Endothelial",0.00425077273295652,TRUE,TRUE,"Down_in_Aged"
0.00243335406207776,-0.719843727486501,0.21,0.255,1,"H2aj","Basal",0.0042555713633945,TRUE,TRUE,"Down_in_Aged"
0.00243864525116209,-0.613900125402089,0.104,0.145,1,"Adam12","Basal",0.00426261081812976,TRUE,TRUE,"Down_in_Aged"
0.00243962155188069,0.316436499165446,0.192,0.14,1,"Purg","Basal",0.00426261081812976,TRUE,TRUE,"Up_in_Aged"
0.000497884682219453,1.92616582675093,0.185,0.075,1,"Arhgap10","Endothelial",0.0042641892862851,TRUE,TRUE,"Up_in_Aged"
0.000639808923791549,0.374212373996239,0.288,0.13,1,"Ostc","Fibroblasts",0.00426569236129001,TRUE,TRUE,"Up_in_Aged"
0.000641429778300555,0.63528421517901,0.433,0.26,1,"Ccdc50","Fibroblasts",0.00426662481413784,TRUE,TRUE,"Up_in_Aged"
0.000641746390835142,1.04358162478196,0.299,0.146,1,"Traf3","Fibroblasts",0.00426662481413784,TRUE,TRUE,"Up_in_Aged"
0.000643777960861247,0.859310685232525,0.227,0.089,1,"Map2k3","Fibroblasts",0.00427414542686481,TRUE,TRUE,"Up_in_Aged"
0.000647248150257971,1.6171161848828,0.2,0.073,1,"Plbd2","Fibroblasts",0.00429118291798127,TRUE,TRUE,"Up_in_Aged"
0.00246229348973569,0.280716589287522,0.121,0.08,1,"Myo19","Basal",0.00429827851055859,TRUE,TRUE,"Up_in_Aged"
0.00246229631667454,0.286732049977783,0.125,0.084,1,"Gskip","Basal",0.00429827851055859,TRUE,TRUE,"Up_in_Aged"
0.000503352129594095,-0.711135789255387,0.449,0.575,1,"Ifnar2","Endothelial",0.00430246225057809,TRUE,TRUE,"Down_in_Aged"
0.00404682961394028,0.333075015852926,0.244,0.242,1,"Polr1d","Luminal",0.0043026139590046,TRUE,TRUE,"Up_in_Aged"
0.00249835541019162,-0.61707496426445,0.371,0.409,1,"Prdx1","Basal",0.00435922316179372,TRUE,TRUE,"Down_in_Aged"
0.000511488832778932,-0.896364267211976,0.181,0.323,1,"Rhbdl2","Endothelial",0.00436335424081513,TRUE,TRUE,"Down_in_Aged"
0.000665702889156913,0.265969307232181,0.63,0.374,1,"Wfdc2","Fibroblasts",0.00440738021593845,TRUE,TRUE,"Up_in_Aged"
