"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","102-FF-Tumor","107-L4t2-Tumor","116-R4-Tumor","157-R2-Tumor","158-L2-Tumor","167-L2-Tumor","external_gene_name"
"ENSRNOG00000031671",16.5729483722661,3.87479488123352,0.856646660441187,4.52321249841555,6.09080346003214e-06,0.00108115108010878,20.4090636195229,47.1965207234226,25.2886813946595,0.807145204303666,2.4888383867246,3.24744090496353,"Rasgef1a"
"ENSRNOG00000052467",38.4382663667858,3.74359368497832,0.829358538961382,4.51384233611012,6.36635526363431e-06,0.00111777974536397,40.8181272390458,153.901698011161,19.869678238661,5.65001643012566,4.9776767734492,5.41240150827255,"Klrc2"
"ENSRNOG00000015290",981.628343059654,-1.33650402813,0.297861611693195,-4.48699656371507,7.22342392323214e-06,0.00125462329711794,489.81752686855,455.549026113036,724.34008851846,1420.57555957445,1412.830590864,1386.65726641943,"Tpi1l1"
"ENSRNOG00000042714",13.6829899276443,-7.07142572096328,1.57815046819977,-4.48083111430422,7.43529306724048e-06,0.0012776839246291,0,0,0,44.3929862367017,4.14806397787433,33.5568893512898,"Ugt2b34l1"
"ENSRNOG00000017874",186.593630718885,1.93639609817391,0.433206746075917,4.46991215098615,7.82517312151448e-06,0.00133052654138761,301.762583517232,419.638629910432,166.182763450619,82.328810838974,63.0505724636898,86.5984241323607,"Cd53"
"ENSRNOG00000030021",108.613774625811,2.77222404084368,0.620719572430016,4.46614568635378,7.96413866357037e-06,0.00134004928992346,376.109886702637,114.913267848333,77.6723785693112,26.635791742021,28.2068350495454,28.1444878430172,"Ccl6"
"ENSRNOG00000002238",76.7288059949205,3.20852682995544,0.722625453166385,4.4400966169907,8.99184996071621e-06,0.00149737476716958,46.6492882731952,273.945022459866,94.832555229973,23.4072109248063,7.46651516017379,14.0722439215086,"Sema5b"
"ENSRNOG00000002664",388.762062519744,-2.65745582960491,0.599934920379306,-4.42957350761437,9.44196268647734e-06,0.00154410769923405,90.3829960293158,81.054894285878,147.216252404625,598.90174159332,212.380875667166,1202.63561513816,"Emp2"
"ENSRNOG00000007740",144.640031288533,-2.6140568903967,0.5904924507159,-4.42690992446639,9.55926267092215e-06,0.00154410769923405,56.8538200829567,34.8843848825298,30.7076845506579,322.858081721467,80.472441170762,342.063775322825,NA
"ENSRNOG00000019996",505.793933101143,1.86448065324084,0.42109125437614,4.42773539907195,9.52276202418936e-06,0.00154410769923405,1202.67696329331,524.291784558021,654.796214683147,259.093610581477,234.780421147687,159.124604343213,"Slc16a1"
"ENSRNOG00000007284",1557.76821226048,-1.99235949871903,0.451674376621477,-4.41105274472701,1.02869254089185e-05,0.00164519511020061,682.24584099548,722.311969332381,473.259608957198,3682.19642203333,2570.97005348651,1215.62537875801,"Slc2a1"
"ENSRNOG00000024874",62.1057549769923,1.84936292116926,0.420068035480462,4.402531887612,1.06994858032229e-05,0.00169439994293587,107.876479131764,103.627143327515,80.3818801473104,20.1786301075917,35.6733502097192,24.8970469380537,"Prtfdc1"
"ENSRNOG00000017783",1218.18050744161,-1.89705061595036,0.432077849464701,-4.39052966566234,1.13074886595573e-05,0.00177329965357116,604.982957293001,527.369818518244,415.456908626548,1811.23383845743,2911.94091246778,1038.09860928667,"Sfrp1"
"ENSRNOG00000022523",242.508053837861,3.02080040504897,0.690066301123686,4.37755096884166,1.20020299640897e-05,0.0018594770031095,857.180672019962,156.979731971384,281.78816411192,48.42871225822,87.9389563309358,22.7320863347447,"Fkbp5"
"ENSRNOG00000062686",432.61648540518,2.6419185256625,0.603727932144938,4.3760084385631,1.20872336610226e-05,0.0018594770031095,1231.83276846406,183.656026293319,821.882145326432,104.928876559477,131.078821700829,122.32027408696,"Gcnt1"
"ENSRNOG00000038957",45.9514174848358,5.69466664987014,1.30395473699183,4.36722724211078,1.25833789428867e-05,0.001917540755325,2.9155805170747,251.372773418229,16.2570094679954,2.421435612911,1.65922559114973,1.08248030165451,"Ifgga4l"
"ENSRNOG00000064635",72.4320660174363,2.94471534188516,0.675164614146776,4.36147760143869,1.29187023279622e-05,0.0019502411093792,212.837377746453,127.225403689226,44.255192440654,9.685742451644,12.444191933623,28.1444878430172,"LOC124459649"
"ENSRNOG00000009550",245.535100680274,-1.61741404372254,0.371014771858695,-4.35943301022675,1.3039986337196e-05,0.00195032314171044,77.2628837024796,128.251415009301,155.344757138622,380.165391227027,424.761751334331,307.424405669881,"Sqle"
"ENSRNOG00000003895",79.2824869181581,2.34606740252872,0.540192663252145,4.34301974485287,1.40537497828083e-05,0.00208266257102479,212.837377746453,115.939279168408,68.6407066426471,20.9857753118953,21.5699326849465,35.7218499545988,"Rgs1"
"ENSRNOG00000027139",105.723562725306,-4.59329744181496,1.05981087306817,-4.33407276575424,1.46375756641644e-05,0.0021494614518477,2.9155805170747,1.02601132007441,20.7728454313274,117.036054624032,28.2068350495454,464.384049409784,"Krt20"
"ENSRNOG00000030149",577.70479392813,-2.58757982650484,0.598229404372614,-4.32539725996673,1.52257220341737e-05,0.00221568547763972,97.6719473220025,199.046196094435,196.890448001277,486.708558195111,530.952189167914,1954.95942478804,"Adgrl3"
