Gene	E1_log2FC	E1_pvalue	E1_qvalue	E2_log2FC	E2_pvalue	E2_qvalue	
CTB-178M22.2	1.038	0.027	0.047	0.761	0.115	0.163	nd
FAM86EP	1.038	0.000	0.000	0.780	0.000	0.000	nd
BCKDHA	1.038	0.000	0.000	0.324	0.002	0.004	nd
USP4	1.037	0.000	0.000	0.871	0.000	0.000	nd
RMND1	1.036	0.000	0.000	0.872	0.000	0.000	nd
BLOC1S3	1.035	0.000	0.000	0.872	0.000	0.000	nd
VPS37C	1.035	0.000	0.000	0.997	0.000	0.000	nd
ASH1L	1.034	0.000	0.000	0.857	0.000	0.000	nd
CLSTN2	1.034	0.000	0.000	0.848	0.000	0.000	nd
RP11-876N24.3	1.033	0.002	0.004	0.953	0.006	0.011	nd
RP11-1275H24.3	1.033	0.000	0.000	0.926	0.000	0.001	nd
FAM89B	1.033	0.000	0.000	0.864	0.000	0.000	nd
ZBTB7B	1.032	0.000	0.000	0.782	0.000	0.000	nd
CEP89	1.032	0.000	0.000	0.824	0.000	0.000	nd
ARID2	1.031	0.000	0.000	0.973	0.000	0.000	nd
BLVRB	1.031	0.000	0.000	0.931	0.000	0.000	nd
FIBP	1.031	0.000	0.000	0.825	0.000	0.000	nd
FLNB-AS1	1.030	0.006	0.011	0.872	0.023	0.039	nd
RP11-505K9.1	1.030	0.000	0.000	0.963	0.000	0.000	nd
OGDH	1.029	0.000	0.000	0.717	0.000	0.000	nd
GRN	1.029	0.000	0.000	0.778	0.000	0.000	nd
DCAF7	1.028	0.000	0.000	0.997	0.000	0.000	nd
XXYLT1	1.028	0.000	0.000	0.961	0.000	0.000	nd
VPS41	1.028	0.000	0.000	0.870	0.000	0.000	nd
MTSS1L	1.027	0.000	0.000	0.842	0.000	0.000	nd
ABLIM2	1.027	0.000	0.000	0.779	0.000	0.000	nd
PLXNB1	1.027	0.000	0.000	0.880	0.000	0.000	nd
PPP2R4	1.027	0.000	0.000	0.755	0.000	0.000	nd
ACAA1	1.026	0.000	0.000	0.982	0.000	0.000	nd
TAF6	1.026	0.000	0.000	0.909	0.000	0.000	nd
ARRDC1	1.026	0.000	0.000	0.896	0.000	0.000	nd
IFT22	1.026	0.000	0.000	0.953	0.000	0.000	nd
RPL41P2	1.025	0.000	0.000	0.550	0.000	0.000	nd
GDE1	1.024	0.000	0.000	0.962	0.000	0.000	nd
FAM134A	1.024	0.000	0.000	0.827	0.000	0.000	nd
HUS1	1.023	0.000	0.000	0.991	0.000	0.000	nd
LINC00511	1.021	0.000	0.000	0.962	0.000	0.000	nd
VIPAS39	1.021	0.000	0.000	0.819	0.000	0.000	nd
RHBDF2	1.021	0.000	0.000	0.822	0.000	0.000	nd
FIZ1	1.020	0.000	0.000	0.921	0.000	0.000	nd
MAP3K11	1.019	0.000	0.000	0.736	0.000	0.000	nd
SERTAD1	1.019	0.000	0.000	0.921	0.000	0.000	nd
FRYL	1.017	0.000	0.000	0.933	0.000	0.000	nd
UFSP1	1.017	0.000	0.000	0.905	0.000	0.000	nd
BCL7B	1.016	0.000	0.000	0.918	0.000	0.000	nd
ARPP19	1.015	0.000	0.000	0.958	0.000	0.000	nd
ITGA3	1.015	0.000	0.000	0.836	0.000	0.000	nd
DTX2	1.015	0.000	0.000	0.891	0.000	0.000	nd
TMEM205	1.014	0.000	0.000	0.822	0.000	0.000	nd
TKFC	1.013	0.000	0.000	0.818	0.000	0.000	nd
GAA	1.013	0.000	0.000	0.822	0.000	0.000	nd
ASF1B	1.011	0.000	0.000	0.976	0.000	0.000	nd
LTC4S	1.010	0.011	0.021	0.821	0.034	0.054	nd
B3GALT4	1.009	0.000	0.000	0.809	0.000	0.000	nd
CENPBD1	1.008	0.000	0.000	0.885	0.000	0.000	nd
SPTLC3	1.006	0.018	0.033	0.777	0.102	0.146	nd
CTD-2540B15.13	1.006	0.000	0.000	0.838	0.000	0.000	nd
CYB561A3	1.006	0.000	0.000	0.683	0.000	0.000	nd
SORT1	1.005	0.000	0.000	0.929	0.000	0.000	nd
TMEM260	1.005	0.000	0.000	0.987	0.000	0.000	nd
MID2	1.004	0.000	0.000	0.735	0.000	0.000	nd
CTD-3074O7.5	1.002	0.000	0.000	0.726	0.001	0.002	nd
PTK6	1.002	0.000	0.000	0.927	0.000	0.000	nd
TANC2	1.001	0.000	0.000	0.750	0.000	0.000	nd
MYLK4	1.000	0.018	0.033	0.852	0.053	0.082	nd
TMEM132A	1.000	0.000	0.000	0.757	0.000	0.000	nd
